document title,abstract,author affiliations,authors,doi,isbns,issn,publication title,publication year,relevant_deepseek-r1:1.5b
Deep Learning Based Patient Queue Time Forecasting in the Emergency Room,"The majority of medical facilities base their assessment of how congested their emergency rooms (ERs) are on the length of time patients must wait in queues. Exorbitant wait times in many ER departments make it harder to serve patients effectively and drive up overall costs. In system queuing applications, contemporary techniques including deep learning (DL) or machine learning (ML) have been frequently employed. Additionally, the flawless collaboration and interaction among healthcare practitioners is made possible by the pairing of the a forementioned prediction technology into a hospital's electronic health records (EHR), and scheduling systems, leading to a more efficient and focused on patients' approach to emergency care. This work creates an empirical research of predicting patients' wait times with multiple approaches and achieves the best operating model to more effectively prioritise patients within the queue. Utilising genuine ER data further contributes to the value of this effort. In addition, the proposed approaches anticipate individuals' wait times more precisely instead of a conventional mathematical strategy. The proposed method can be easily adapted by the healthcare industry's queue system by integrating information from electronic health records (EHRs).","School of Computer Applications, KIIT Deemed to be University, Bhubaneswar, India; School of Computer Applications, KIIT Deemed to be University, Bhubaneswar, India; Faculty of Emerging Technologies, SRI SRI University, Cuttack, India; School of LawKIIT Deemed to be University, Bhubaneswar, India",P. Pattnayak; A. Mohanty; T. Das; S. Patnaik,10.1109/ICSSAS57918.2023.10331755,979-8-3503-0085-7,,2023 International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS),2023,False
Computer Vision Application in Automobile Error Detection,"This paper describes the authentic AI application using the computer vision model in the automotive sector, to find out the error in the automobile by scanning the picture or dashboard and vehicle parts. Since the automobile has begun a complex system over the years and it became very difficult to know and understand each part of its function. So, this AI application would help automobile owners and users to find out the system errors when in case the automobile has gone bad and not functioning in the middle of the fleet. The automobile is a fascinating innovation of the last two centuries and more and more developments have been seen in this sector. The safety and performance increased so drastically by the introduction of processing the functions through electronics and software sensing and actuation, thereby the complexity of the vehicle been increased and self-diagnosis of errors and automobile service been the huge opportunity there and been addressing and lots of gaps still in the addressable area. This paper describes such gap-filling applications in the automobile service sector using AI applications.","Great Learning/Northwestern University, Illinois, USA; Great Learning, Bangalore, India; Great Learning, Bangalore, India; Great Learning, Bangalore, India; Great Learning, Bangalore, India; Great Learning, Hyderabad, India; Great Learning, Bangalore, India; Great Learning, Bangalore, India",N. Darapaneni; M. Ravikumar; S. Singh; A. Tiwari; S. Das; A. R. Paduri; A. Balaraman; G. Pratap,10.1109/IRTM54583.2022.9791543,978-1-6654-7886-1,,2022 Interdisciplinary Research in Technology and Management (IRTM),2022,False
Sakhi: AI-Generated Mental Health Companion,"In modern human society, mental health issues have become one of the biggest health care challenges. Nowadays, every individual experiences these issues that cause harm to the person, family, career, community, and even the economy. Chatbots, also referred to as communicative agents, are a relatively new technical advancement effectively utilized in mental healthcare. They are a scalable platform that offers initial support to those having mental health issues. We conducted a mental health study and received feedback from about 800 users. The female users in the age group of 30 and above were the majority. We conducted statistical analysis and used various machine learning models to extract various insights. The results show age, struggle in coping-up, and change in work were some factors that resulted in feeling stressed among users. The accuracy of the Random forest classifier is 0.37 and that of the Gradient boosting classifier is 0.33. This demonstrates the necessary inclusion of AI in mental health support. In this study, we aim to provide individual mental health care with the help of an Artificial intelligence-driven mental health chatbot, Sakhi. It delivers insightful analysis that offers emotional support, individualized help, and remote mental health monitoring.","KIET Group of Institutions, Ghaziabad; KIET Group of Institutions, Ghaziabad; KIET Group of Institutions, Ghaziabad; KIET Group of Institutions, Ghaziabad",M. Agarwal; D. Chauhan; N. Yadav; S. Singhal,10.1109/ISTEMS60181.2024.10560327,979-8-3503-8424-6,,"2024 1st International Conference on Innovative Sustainable Technologies for Energy, Mechatronics, and Smart Systems (ISTEMS)",2024,False
Classification of Vendor Categories Using Machine Learning in Industrial Decision Support Systems,"Long-term engagement with vendors is established through a crucial supply chain management process of vendor selection. Vendor selection has a significant effect on a company’s success or failure. Incorrect vendor selection leads to substandard goods or services, project delays, user dissatisfaction, and material or nonmaterial losses. Research on supplier selection using machine learning often overlooks automated feature selection mechanisms, which are essential to improve the evaluation process. These mechanisms concentrate on pertinent features, ensuring precision and minimizing the risk of overfitting. To address this research gap, we developed an automatic vendor evaluation method using Chi-square statistics, Logistic Regression coefficients, and Recursive Feature Elimination (RFE) to identify and exclude less relevant features from the evaluation process. The hyperparameter tuning of the Random Forest model determined the optimal hyperparameter values to enhance the predictive performance while minimizing overfitting risks. The model achieved an overall accuracy of 0.9834. In addition, the scores of precision and recall exceeded 0.97 for the ""Good"" and ""Fair"" categories, demonstrating its effectiveness in vendor classification and providing critical insights for improving vendor evaluation processes. This study improves the vendor selection procedure and makes a substantial contribution to the use of artificial intelligence in business decisions. This offers a solid framework for automated assessments that can be tailored to different decision-making scenarios.","Department of Electrical and Information Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Electrical and Information Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia",R. W. Apriliani; S. Wibirama,10.1109/ISRITI64779.2024.10963453,979-8-3315-1964-3,2832-1456,2024 7th International Seminar on Research of Information Technology and Intelligent Systems (ISRITI),2024,False
Proposal for the Design of an Educational Robot to Enhance Learning and Support Children with attention Deficit Hyperactivity Disorder from the Fifth Year of Age at Low Cost-Nubox,"This research work presents the design of an educational robot that enhances learning in children with attention deficit hyperactivity disorder at low cost. The design of the educational robot aims to support learning through structured and focused interaction with games and activities that improve attention and memory, this enhances and keeps children engaged with immediate and positive feedback, it also has a striking mechanical design for the user being the PLA material, as well as a Raspberry Pi 3 controller that controls the educational robot with great efficiency and with enough memory to store and carry out the purpose for which it was designed, also mention about the 7″ touch screen that improves the interaction with the user and the speakers that produce white noise for the improvement of attention. A mixed methodology between VDI 2206 and MIT was used to meet the proposed objectives. The results of this research will improve attention and memory with a pleasant and practical design, a stable structure, intuitive mechanism and electronic components suitable for children with mild ADHD.","Dept. of Fab Lab, Universidad Continental, Huancayo, Peru; Dept. of Fab Lab, Universidad Continental, Huancayo, Peru; Dept. of Fab Lab, Universidad Continental, Huancayo, Peru",A. L. H. Poma; A. C. M. Puris; J. A. Del Aguila Ramos,10.1109/RAAI64504.2024.10949547,979-8-3315-2003-8,,"2024 4th International Conference on Robotics, Automation and Artificial Intelligence (RAAI)",2024,False
Scientific Study of Technological Chatbot Adoption in Customer Service,"Customer service is the act of assisting and advising consumers who are considering purchasing or are already utilizing a product or service. Customers want prompt and thorough replies to their questions. Keeping consumers pleased and satisfied is critical to any company's success. As a result, a company needs to offer a variety of client services so that consumers may choose the services that best suit their needs. Telecommunication, IVR, Web Site, Email, Live Chat, and social media are the most common types of customer support. This paper presents a new way of customer service, called ""chatbots"". The paper discusses the benefits of adopting chatbots for customer service, an overview of chatbot technology, a few case studies about how companies are using chatbots, and challenges in adopting chatbot technology for providing customer service.","Computer Science and Engineering, MATS University, Raipur, India; Computer Science and Engineering, MATS University, Raipur, India",M. K. Tamrakar; A. Badholia,10.1109/ICESC54411.2022.9885724,978-1-6654-7971-4,,2022 3rd International Conference on Electronics and Sustainable Communication Systems (ICESC),2022,False
Predictive Analytics in Performance Appraisal Systems: Enhancing Objectivity and Fairness,"Background & Scope: Performance evaluation systems are crucial in evaluating employee performance, providing feedback, and facilitating talent development initiatives. Conventional performance evaluation systems rely on personal opinions and are susceptible to prejudice. Utilizing data-driven predictive analytics enhances the objectivity and equity of the performance evaluation system. This study examines the potential role of predictive analytics in improving the fairness and impartiality of performance rating systems. The study investigates the potential of predictive analytics models to mitigate biases, improve accuracy, and promote objectivity in performance evaluation.Methodology: A detailed and comprehensive analysis of the literature on predictive analytics in performance management and staff development has been done to identify gaps and find untapped areas. The research integrates the data from organizations that employ predictive analytics for their employee performance evaluations, which have been included as a sample in this research for the Qualitative assessment & review.Originality: This research contributes to the current understanding of the application of predictive analytics in the organization's employee performance assessment system. It provides an in-depth analysis of the advantages, disadvantages, and methods of using predictive analytics in assessing human resource management operations for an employee's performance.Implications and Future Directions: Performance assessment systems that utilize and implement predictive analytics in the organization to improve the fairness, accuracy, and impartiality of HRM decision-making and that can examine the ethical, scalability, and long-term impacts of using and applying predictive analytics in the Organization for Performance assessment in the HRM practices.","School of Management, Ramdeobaba University, Nagpur, India; Symbiosis Centre for Management Studies, Pune, Symbiosis International (Deemed University), Pune, India; G H Raisoni College of Engineering, Nagpur, India",P. S. Dahake; S. Chandak; N. S. Dahake,10.1109/IDICAIEI61867.2024.10842916,979-8-3315-2871-3,,"2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry (IDICAIEI)",2024,False
New Paradigm for Economic and Financial Research With Generative AI: Impact and Perspective,"In the past few years, we have witnessed the rapid development and exponential growth of generative artificial intelligence (GAI) technologies including large language models (LLMs)-enabled ChatGPT and peripheral innovations. These technologies are designed to be humanlike intelligence and intuitive by providing direct access to systems using application programming interfaces (APIs). The GAI applications can fundamentally change economic and financial activities, through revolutionizing the ways that humans interact with machines and giving rise to new modes of production and behavior patterns. It is imperative to develop a new research paradigm that is more suitable than the currently dominating conventional research paradigms. This article presents the new paradigm for economic and financial research with GAI, covering the research objectives, scientific data, and models, and explores the underlying impact and perspective that bring to this field. We elaborate on the potential five scenarios including portfolio management, economic and financial prediction, extreme scenario analysis, policy analysis, and financial fraud detection. The new research paradigm with GAI proposed in this article can provide significant insights for a comprehensive understanding of innovation and transformation in this domain.",NA; NA; NA; NA,X. Zheng; J. Li; M. Lu; F. -Y. Wang,10.1109/TCSS.2023.3334306,,2329-924X,IEEE Transactions on Computational Social Systems,2024,False
Research on Intelligent Question-Answering Systems Based on Large Language Models and Knowledge Graphs,"With the continuous development of artificial intelligence and cloud computing technologies, the emergence of large language models (LLMs) has created new opportunities for intelligent applications. However, large language models may lack authenticity and accuracy when providing answers in specific professional domains, and they even generate ""illusory facts."" In response to the limitations of current large language models in solving specific professional fields, this paper proposes to use large language models and knowledge graph technology to construct an intelligent question answering system for specific fields. Through systematic training and optimization, efficient domain specific knowledge Q&A has been achieved, improving the satisfaction rate of domain specific knowledge Q&A. The intelligent question answering system based on large models and knowledge graphs brings more convenience to people's lives and work, which is beneficial for users to obtain intelligent solutions in fields such as education, healthcare, and customer service.","Information Management School, Wuhan University, Wuhan, China; Information Engineering School, Wuhan Business University, Wuhan, China",Q. Wu; Y. Wang,10.1109/ISCID59865.2023.00045,979-8-3503-1745-9,2473-3547,2023 16th International Symposium on Computational Intelligence and Design (ISCID),2023,False
CardioNet: An Integrative AI-Machine Learning Framework for Enhanced Prediction and Management of Cardiovascular Diseases Using Deep Data Analytics and Clinical Insights,"Cardio Vascular Disease (CVD) causes dysfunction in our heart and blood arteries, which frequently results in death or paralysis. Therefore, many lives can be prevented by the early and automatic recognition of CVD. Although this goal has been the subject of numerous studies, performance and dependability can yet be enhanced. This work represents another advancement in that direction. Given that cardiovascular diseases (CVDs) remain the primary cause of death worldwide, effective strategies for early detection and management are necessary. To help with CVD prediction and management, we introduce CardioNet, an integrated machine learning framework with strong data analytics and clinical insights. To accurately predict the risk and progression of CVD, CardioNet integrates state-of-the-art machine learning algorithms with a variety of medical data sources, including genetic profiles, imaging data, and electronic health records. CardioNet integrates clinical information and feedback mechanisms to offer customized risk assessment and therapy suggestions. This, in turn, improves patient outcomes and lowers the cost of healthcare. The potential of CardioNet as a comprehensive strategy to counter the widespread threat of CVDs is highlighted.","Department of Information Technology, Agni College Of Technology, Chennai, India; Department of Electronics and Communication Engineering, Sri Sairam Institute of Technology, Chennai, India; Department of Computer Science and Engineering, Panimalar Engineering College, Chennai City Campus, India; Department of Computer Science and Engineering, Sri Sairam Institute of Technology, Chennai, India; Department of Computer Science and Engineering, SRM Institute of Science and Technology, Ramapuram Campus, Chennai, India; Department of Electronics and Communication Engineering, Sri Sairam Institute of Technology, Chennai, India",S. G. A; R. Prabha; I. Thamarai; D. Roopa; R. K. R; C. Srimathi,10.1109/ICPECTS62210.2024.10780317,979-8-3315-0884-5,,"2024 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)",2024,False
Research on the Training Mode of Collaborative Innovation Talents under the Cloud Platform Environment,"This research discusses the innovative talent training mode in which teachers, students and resources cooperate with each other in the “cloud platform” teaching environment. The construction mode of curriculum resources under the cloud platform has been constructed, the construction of “fragmentation” and “micro curriculum” of specific curriculum resources has been studied, various types of teaching resources suitable for mobile learning have been explored in depth, and a large number of “micro resources” have been created and released to the cloud platform, facilitating teachers and students to share learning resources; Through the cloud platform, real-time and non real-time teacher student interaction and student student communication are realized before, during and after class, forming a smart classroom teaching mode based on the cloud platform, realizing online micro class viewing before class, face-to-face discussion between teachers and students in class, online discussion, question answering and homework after class, and timely feedback, formative evaluation and peer mutual evaluation; At the same time, the mutual evaluation mechanism of teaching effect between students and teachers and the evaluation mechanism of resource utilization effect have been established, forming a scientific evaluation system of teaching effect.","School of Economics and Management, Beijing Vocational College of Electronic Science and Technology, Beijing, China; Department of Data Science and Intelligent Media, Communication University of China, Beijing, China",X. Xiao; B. Li,10.1109/WAIE57417.2022.00014,978-1-6654-6351-5,,2022 4th International Workshop on Artificial Intelligence and Education (WAIE),2022,False
An Autonomous Emotion Recognition Strategy Employing Deep Learning for Self-Learning,"Because of their individuality and diversity, facial expressions are crucial to deciphering human communication and humour. Predicting a person's facial expression accurately not only helps you understand their emotional state but also gives you greater control over how you engage with them. Since personalised interactions are shown to enhance development and rapport., this ability to autonomously recognise human facial emotions has tremendous promise in fields like finance and education. In this study., we provide a new method for identifying human emotions based on Convolutional Neural Networks (CNNs). This method departs from conventional approaches by harnessing the potential of modern machine learning methods that make use of face datasets. When implemented in the TensorFlow framework., this method might significantly alter the way grammatical constructions are understood. Convolutional Neural Networks are at the core of our technique since they are a complicated design that can easily deal with complex picture data. We overcome the limits of previous methods by using CNNs to extract complex characteristics from face photos, which we access by abandoning traditional paradigms. To ensure the efficacy of our approach., we ran trials using the Facial Expression Recognition Challenge (FERC-2013) Dataset., a collection of 32 thousand different human faces. Surprisingly., our method achieved classification rates over 65%., demonstrating its efficiency in deciphering human emotions across a wide range of photos. Our approach is built on the incorporation of the AlexNet Architecture., a powerful algorithm that acts as the process”s conductor. One interesting feature is that it can be trained in batches., which speeds up the learning process and requires less resources. This effectiveness not only aids in faster learning., but also makes the method more widely applicable. Our work essentially advances facial emotion identification into the cutting edge of machine learning., which might have far-reaching applications across many different fields. Our method allows for more accurate and autonomous expression decoding., which opens the door to more nuanced interactions and promotes development and better communication across fields from finance to education.","School of Computing, Graphic Era Hill University, Dehradun, India; Department of Computer Engineering & Applications, GLA University, Mathura, UP, India; Department of Computer Engineering & Applications, GLA University, Mathura, UP, India; Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun; Department of Management, Jaipuria Institute of Management, Jaipur, India; Department of Computer Science and Engineering, GLBITM, Greater Noida, UP, India",K. U. Singh; A. Kumar; G. Kumar; T. Singh; S. Kumar; S. P. Yadav,10.1109/ICTACS59847.2023.10389867,979-8-3503-4233-8,,2023 3rd International Conference on Technological Advancements in Computational Sciences (ICTACS),2023,False
Transforming urban solutions for smart cities through crowdsourced feedback,"Crowdsourcing is the part of the new wave of applications to better enhance the contemporary urban management paradigmin Smart Cities. Crowdsourcing can be carried out by collecting real-time data analysis by engaging citizens to be more active contributors. Recently most of the researchers investigated this by considering crowdsourcing as one of the probable challenges that lies ahead in smart cities. This paper discusses how Crowd-sourced data can be used for important utilities in Urban governance and management. Citizens can help in reporting traffic on a real-time basis and incidents as well. This approach will reduce the communication gap between Citizens and the authorities. The proposed framework has functionalities that incorporate geo-fencing, real-time alerts for public transportation, and automated maintenance notifications. To enable continuous citizen interaction there is a need to implement an incentive system to encourage active citizen engagement, leading toward a cooperative urban management practice. As the paper also addresses the importance of data privacy challenges, as a pillar of community trust and sustainable growth of a smart city.","Department of Artificial Intelligence and Machine Learning, NIMS University, Rajasthan, Jaipur, India; Department of Artificial Intelligence and Machine Learning, NIMS University, Rajasthan, Jaipur, India; Department of Artificial Intelligence and Machine Learning, NIMS University, Rajasthan, Jaipur, India; Department of Artificial Intelligence and Machine Learning, NIMS University, Rajasthan, Jaipur, India; Department of Artificial Intelligence and Machine Learning, NIMS University, Rajasthan, Jaipur, India; Department of Artificial Intelligence and Machine Learning, NIMS University, Rajasthan, Jaipur, India",S. Chaturvedi; K. Bharadwaj; H. Patel; A. Gothwal; N. Bhosle; J. Jagtap,10.1049/icp.2025.0848,978-1-83724-310-5,,8th IET Smart Cities Symposium (SCS 2024),2024,False
Revolutionizing Travel Planning: An Image Based Destination Recognition and Recommendation System,"Due to the abundance of information available online and the wide range of possibilities available, our preparation has become more difficult and time-consuming. This is especially true given that every visitor has different interests and preferred destinations in addition to tour-specific limitations like vaccination records and travel restrictions due to pandemics. A number of travel agencies and organizations have sprung up with more advanced internet services in an attempt to take advantage of the growing global travel market by employing technology to provide travelers with relevant recommendations. However, these systems often use a destination-based recommendation strategy and are sold in packages with little room for modification to account for the tastes of individual travelers. In order to overcome these restrictions. With the use of artificial intelligence-powered picture recognition, our TravelGaze system can now identify destinations from user-uploadedimages, marking a significant advancement in travel technology. In addition to recognition, the system offers customized trip suggestions that include neighboring lodging options, eateries, art galleries, and current weather information. The solution improves destination recognition accuracy and revolutionizes travel planning by utilizing cutting-edge AI algorithms. This paper offers insights for developers and stakeholders looking to reinvent how consumers explore and plan their travels, adding to the ongoing conversation on intelligent travel solutions.","Computer Science and Engineering, JSS Academy of Technical Education, Noida, Uttar Pradesh, India; Computer Science and Engineering, JSS Academy of Technical Education, Noida, Uttar Pradesh, India; Computer Science and Engineering, JSS Academy of Technical Education, Noida, Uttar Pradesh, India",M. Gupta; V. Goyal; V. Rathi,10.1109/ACET61898.2024.10730034,979-8-3503-6772-0,,2024 1st International Conference on Advanced Computing and Emerging Technologies (ACET),2024,False
Unsight: Bridging The Educational Gap For Blind Learners,"Visually impaired learners face significant challenges in accessing quality education due to the lack of accessible educational materials and adaptive learning environments. Traditional educational methods often fall short in addressing the unique needs of these learners, leading to a gap in educational outcomes and opportunities. UnSight aims to enhance the educational experience for visually impaired learners through a virtual education platform that integrates advanced AI technologies. This platform leverages speech and text processing, image and text integration, and voice-to-action commands to address accessibility gaps. Emphasizing adaptive learning and personalized feedback, the proposed system contributes to SDG 4: Quality Education. This paper discusses the technical architecture, standardization efforts, scalability, and ethical considerations involved in developing and deploying UnSight.","International Institute of Information Technology, Hyderabad; International Institute of Information Technology, Hyderabad; International Institute of Information Technology, Hyderabad",P. Aishani; S. Arush; M. Vivek,10.23919/ITUK62727.2024.10772938,978-92-61-39091-4,,2024 ITU Kaleidoscope: Innovation and Digital Transformation for a Sustainable World (ITU K),2024,False
Intelligent Decision Support Systems: Transforming Smart Cities Management,"Since urban cities are expanding due to technology, economy, and influx of more people the need for better management systems is paramount. This paper aims to examine the use of Intelligent Decision Support Systems (IDSS) in enhancing the urban infrastructure, safety and resources in smart cities. Hereby, we present a complex framework that involves Internet of Things (IoT) devices, Neural Networks, Artificial Intelligence (AI) to make decisions in traffic controlling, environmental issues and safety. When used with machines learning (ML) algorithms and predictive analytics, the framework increases the efficiency of urban management operations. A comparison of the energy used by promised by these algorithms including LSTM, SVM, KNN, and the OPTIMUS, a system is developed that enables smart cities to significantly save energy hence highlighting its efficiency. Furthermore, a performance comparison of Random Forest, LSTM, SVM, and KNN for traffic management shows KNN achieving the highest accuracy and precision. The paper discusses data collection, processing, and integration methodologies, and presents case studies demonstrating cost reductions and sustainability improvements. The present paper provides evidence to support the assumption that the development of IDSS can greatly enhance the progress of smart cities by underpinning the process by data, feedback and other forms of information.","Department of Computer Engineering, University of Gezira, Sudan; Department of Electrical and Computer Engineering, International Islamic University Malaysia, Malaysia; Department of Computer Engineering, College of Computers and Information Technology, Taif University, Saudi Arabia; Department of Communications and Electronics Engineering, Faculty of Engineering, University of Modern Sciences (UMS), Yemen",Z. E. Ahmed; A. H. A. Hashim; R. A. Mokhtar; M. M. Saeed,10.1109/ICETI63946.2024.10777112,979-8-3315-3355-7,,2024 1st International Conference on Emerging Technologies for Dependable Internet of Things (ICETI),2024,False
Dynamic Level of Difficulties Using Q-Learning and Fuzzy Logic,"Maintaining player engagement in serious management games is a challenge due to the repetitive nature of traditional predetermined difficulty levels. A dynamic difficulty adjustment (DDA) system is introduced in this study to address this issue by integrating fuzzy logic and Q-learning. Player ennui is frequently the consequence of static difficulty adjustments. In order to dynamically adjust game complexity in accordance with player performance and preferences, our DDA system utilizes a diverse array of performance metrics, adaptive narrative elements, and real-time feedback, as well as fuzzy logic and Q-learning algorithms. According to empirical assessments, players were 28% more effective overall, and play sessions lasted an average of 35% longer. Player satisfaction and involvement were also much improved. Customers played the game longer and were less bored because of the higher degree of difficulty and customization. The integration of fuzzy logic and Q-learning in DDA systems greatly enhances the ability to maintain long-term player engagement in essential management games. This approach offers a long-lasting alternative for creating constantly captivating gaming experiences by effectively reducing the repetitiveness of traditional difficulty adjustments.","Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Creative Multimedia Technology, Electronic Engineering Polytechnic Institute of Surabaya, Surabaya, Indonesia; Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim, Malang, Indonesia; Department of Electrical Engineering, Electronic Engineering Polytechnic Institute of Surabaya, Surabaya, Indonesia; Department of Informatics and Computer Engineering, Electronic Engineering Polytechnic Institute of Surabaya, Surabaya, Indonesia; Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia",F. Annisa Damastuti; K. Firmansyah; Y. Miftachul Arif; T. Dutono; A. Barakbah; M. Hariadi,10.1109/ACCESS.2024.3457801,,2169-3536,IEEE Access,2024,False
Addressing the Cold-Start Problem in Collaborative Filtering Through Positive-Unlabeled Learning and Multi-Target Prediction,"The cold-start problem is one of the main challenges in recommender systems and specifically in collaborative filtering methods. Such methods, albeit effective, typically can not handle new items or users that do not have any prior interaction activity in the system. In this paper, we propose a novel two-step approach to address the cold-start problem. First, we view the user-item interactions in a positive unlabeled (PU) learning setting and reconstruct the interaction matrix between users and warm items, detecting missing links and recommending warm items to existing users. Second, an inductive multi-target regressor is trained on this reconstructed interaction matrix and subsequently predicts interactions for new items that enter the system. To the best of our knowledge, this is the first time that such a two-step PU learning method is proposed to address the cold-start problem in recommender systems. To evaluate the proposed approach, we employed four benchmark datasets from movie and news recommendation domains with explicit and implicit feedback. We compared our method against three other competitor approaches that address the cold-start problem and showed that our proposed method significantly outperforms them, achieving in a case an increase of 16.9% in terms of NDCG.","Itec, IMEC Research Group, KU Leuven, Kortrijk, Belgium; Department of Management, Strategy and Innovation, KU Leuven, Leuven, Belgium; Itec, IMEC Research Group, KU Leuven, Kortrijk, Belgium",A. Gharahighehi; K. Pliakos; C. Vens,10.1109/ACCESS.2022.3219071,,2169-3536,IEEE Access,2022,False
Utilizing AI to Tailor Leadership Styles and Interventions for Optimal Employee Engagement and Performance,"In today's dynamic and competitive business landscape, organizations are increasingly recognizing the pivotal role of effective leadership in driving employee engagement and enhancing overall performance. However, traditional one-size-fits-all leadership approaches often fall short in addressing the diverse needs and preferences of modern workforces. This paper proposes an innovative framework that harnesses the power of artificial intelligence (AI) to tailor leadership styles and interventions for optimal employee engagement and performance. The proposed framework integrates advanced AI algorithms with comprehensive data analytics to gain deep insights into employee behaviors, preferences, and performance indicators. Through this data-driven approach, organizations can develop a nuanced understanding of individual and collective employee needs, motivations, and aspirations. Based on these insights, AI algorithms can generate personalized recommendations for leadership styles and interventions tailored to specific teams or individuals. For example, the AI system may suggest adaptive leadership strategies that vary based on factors such as personality traits, job roles, and work preferences. Furthermore, the framework facilitates continuous monitoring and optimization of leadership interventions by analyzing real-time feedback and performance metrics. This iterative process enables leaders to adapt their approaches in response to changing circumstances and emerging trends, ensuring sustained employee engagement and performance improvement over time. The implementation of AI-powered leadership customization offers several potential benefits for organizations. In conclusion, this paper highlights the transformative potential of leveraging AI for tailoring leadership strategies to enhance employee engagement and performance.","Department of Management Studies, Adithya Institute of Technology, Kovilpalayam Coimbatore, India; Department of Commerce and Business Administration, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India; Department of Business Management, Vignana Bharathi Institute of Technology, India; Department of Computer Engineering, Marwadi University, Rajkot, Gujarat State; Durban University of Technology, South Africa; Dr. D. Y. Patil Vidyapeeth, Pune",L. R; C. Vijai; S. H. Krishna; P. C. R. Alla; M. Lourens; M. Soni,10.1109/TQCEBT59414.2024.10545294,979-8-3503-8427-7,,2024 International Conference on Trends in Quantum Computing and Emerging Business Technologies,2024,False
Decoding Sentiments: An Efficient Trans-Long Short Term Memory to Understand Viewer Reactions on Ad-Supported Video Contents,"Viewer reaction analysis in ad-supported video content focuses on the use of advanced techniques to understand and interpret the emotional responses expressed by viewers during ad viewing experiences. This analysis goes beyond simple positive or negative sentiment and delves into the nuances of viewer reactions, allowing for a more comprehensive understanding of the emotional impact of ads. With this information, advertisers can make data-driven decisions to optimize their advertising strategies, create more engaging content, and ultimately enhance the viewer experience. One of the challenges in sentiment analysis for viewer reaction analysis is the inherent subjectivity and variability of human emotions. Emotions can be complex and subjective, making it difficult to accurately capture and interpret them solely based on text or viewer feedback. Different individuals may perceive and express emotions differently, adding another layer of complexity to the analysis process. Addressing these challenges requires a combination of advanced deep learning model refinement. Overcoming these challenges can provide valuable insights into viewer reactions, enabling advertisers and content creators to create more engaging and impactful ad-supported video content. In this paper, an Artificial Intelligence (AI)-based sentiment analysis is introduced to analyze the viewer's reaction while watching the ad in the video content. Here, an efficient model named Trans-Long Short-Term Memory (Trans-LSTM) is developed to perform the sentiment analysis. The developed Trans-LSTM is helpful in supervising the emotional data in the online video content and identifying the popularity of the corresponding video. The suggested model effectively analyzes the reviewer’s actions while watching all types of video content. Finally, the experimental analysis is performed to find the effectiveness of the developed sentiment analysis model via various metrics.","Department of Computer Science, Software Development & Engineering in Content Discovery & AI, COMCAST, USA; Department of Electrical Engineering, Sr. Principal Systems Engineer in C & RS Platform Services, DT Amtrak, USA",S. Ramagundam; N. Karne,10.1109/ICBDS61829.2024.10837427,979-8-3503-5434-8,,2024 IEEE International Conference on Blockchain and Distributed Systems Security (ICBDS),2024,False
Robotic Process Automation Bridge -in Banking Institute and Consumers,"Technology rooted in every field. Robotic process automation is boon for banking and financial sector. Manual process, in banking sector cannot pace with development. Technology reduces burden of banking system as well as provided convenience to consumers. Despite of standing in queue, consumers not satisfied with banking services. The use of robotic process automation (RPA) to automate, scale-up, manage, analyses, and deliver better customer service is growing. Customer satisfaction is an important facet in banking industry which can be achieved with help of technology intervention. The research describes the main difficulties banks encounter while implementing RPA and offers advice on how to get over them. One of the most cutting-edge technologies in computer science, electronic and communications, mechanical engineering, and information technology is robotic process automation (RPA). Study finds different type of process in banking and financial sector. RPA not only benefit for process in banking sectors but also benefited consumer point of view. Speedy and accurate financial statement within moment can be possible through RPA. RPA reduced human effort in different banking services. Study also revealed about fraudster tool introduced with help of technology. Study emphasize benefit, challenged and recommendation of RPA in banking sector.","Uttaranchal Institute of Management, Uttaranchal University, Dehrdun, India; Uttaranchal Institute of Management, Uttaranchal University, Dehrdun; Uttaranchal Institute of Management, Uttaranchal University, Dehrdun",R. Kumar; A. Saxena; R. Singh,10.1109/ICDT57929.2023.10150500,979-8-3503-2388-7,,2023 International Conference on Disruptive Technologies (ICDT),2023,False
