"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Recommendation plugin to facilitate student learning of the platform e-learning","H. Moutachaouik; H. Douzi; A. Marzak; H. Behja; B. Ouhbi","Faculty of Science Agadir, Laboratory IRF-SIC, France; Faculty of Science Agadir, Laboratory IRF-SIC, France; Faculty of Science Ben Msik, Laboratory of Information technologies and Modeling, Morocco; Laboratory Command and Control of System Production ENSAM, UK; Laboratory Command and Control of System Production ENSAM, UK",2011 3rd International Conference on Next Generation Networks and Services (NGNS),"2 Feb 2012","2011","","","6","11","The objective of this work is the conception and the realization of a recommendatory system, using concepts of the web usage mining and being inspired by approaches to information filtering. This system will propose to the Webmaster (or admin) from a platform for distance learning the best documents available on the web basis on the historical research done by learners. It is, actually a meta-search engine on the web, integrated into the e-learning platform to keep surfing traces of the learner during his searching. This will permit to have a usage basis that will be used by the system to help webmaster (admin) to make decisions about the documents to be added to the platform. The elaborated system will make it passible to propose help and assistance to learners of the platform.","2327-6533","978-1-4673-0140-4","10.1109/NGNS.2011.6142538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6142538","e-learning;web usage mining;information filtering knowledge discovery;recommendation system;information retrieval;decision theory;Moodle;classification","Electronic learning;Knowledge engineering;Java;Navigation;Information filtering;Collaboration","","1","","13","IEEE","2 Feb 2012","","","IEEE","IEEE Conferences"
"Analysis of Intelligent System for Student’s Performance using E-learning Approach","K. Khan; J. Patil; N. Shaikh; A. Thakur; Z. Pirani","Computer Science, M. H. Saboo Siddik College of Engineering, Mumbai, India; Computer Science, M. H. Saboo Siddik College of Engineering, Mumbai, India; Computer Science, M. H. Saboo Siddik College of Engineering, Mumbai, India; Snoop Technologies Pvt. Ltd., Mumbai, India; Computer Science, M. H. Saboo Siddik College of Engineering, Mumbai, India",2018 International Conference on Smart Systems and Inventive Technology (ICSSIT),"1 Jul 2019","2018","","","390","394","Multiple-choice examinations have been ubiquitous since the past two decades in order to evaluate the knowledge of student and understanding of the subject. The nature of the MCQ tests is such that it gives a lot of advantage in terms of speed, the accuracy of scores and uniformity in correction over Descriptive Tests. The disadvantage is that students guess answers to the questions they are not sure about. The scores of these tests are highly valuable as they are used by the universities to admit the students for the course. Students are more focused on practicing such questions on online websites by giving mock tests. By analyzing the data, we can infer about the strategies used by students to attempt the test and identify answers which were guessed correctly. Such analysis can further assist in developing a feedback system that motivates students to enhance their performance by identifying their weaknesses and strengths. The students and assessors can be made aware of the student's possible weak areas in sections where he has achieved a good score. This paper presents various parameters that can be analyzed from the data of such online tests to give feedback and boost the performance of students and also expand our knowledge of both the test-takers and the test-makers in order to improve the current system.","","978-1-5386-5873-4","10.1109/ICSSIT.2018.8748328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8748328","ITS (Intelligent Tutoring System);LMS (Learning Management System);MCQs (Multiple Choice Questions);guessing;student’s performance;e-learning;Moodle","Conferences;Taxonomy;Computer science;Psychology;Histograms;Neural networks;Correlation","","1","","16","IEEE","1 Jul 2019","","","IEEE","IEEE Conferences"
"Utilizing Programming Education Support Tool Pgtracer in an Actual Programming Course","T. Kakeshita; M. Murata","Graduate School of Information Science, Saga University, Saga, Japan; Faculty of Liberal Studies, National Institute of Technology, Yatsushiro, Japan",2017 6th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),"16 Nov 2017","2017","","","471","476","We developed a programming education support tool pgtracer. Pgtracer provides fill-in-the-blank questions to the students and collects student log to analyze students learning process and understanding level. In this paper, we report our experience to utilize pgtracer at an actual programming course as homework assignment. We develop fill-in-the-blank questions corresponding to the course syllabus at each week. Student activities on pgtracer are analyzed to develop questions for the succeeding weeks. We also provide data to the instructor about the activities and achievement of the students for better collaboration between lecture and homework. We received positive feedbacks from both of the teacher interview and student survey about the usefulness of pgtracer as programming education support tool.","","978-1-5386-0621-6","10.1109/IIAI-AAI.2017.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8113290","Learning Analytics (LA);computer programing education;e-learning;Moodle;fill-in-the-blank question","Programming profession;Education;XML;Tools;Interviews;Filling","","1","","3","IEEE","16 Nov 2017","","","IEEE","IEEE Conferences"
"OSLMS: Open source softwares to E Learning - a comparative study","R. Desai; Ajay V.K; K. Kumar; Sumangali","School of Information and Technology Engineering, VIT University, Vellore, Tamil Nadu; School of Information and Technology Engineering, VIT University, Vellore, Tamil Nadu; School of Information and Technology Engineering, VIT University, Vellore, Tamil Nadu; School of Information and Technology Engineering, VIT University, Vellore, Tamil Nadu","2015 International Conference on Control, Instrumentation, Communication and Computational Technologies (ICCICCT)","23 May 2016","2015","","","33","37","The popularity of open source technologies is growing day to day across the globe and especially in education sector. Open source attracts developers and is motivated by numerous factors including openness, reliability, audit ability, stability, cost, flexibility and freedom. Learning Management System (LMS) is online software that simplifies learning. Number of open source Learning Management Systems (OSLMS) is available today which contributes in higher education. LMS have introduced more number of advancements in learning techniques by provisioning new approaches towards teaching techniques which are effective compared to trivial techniques. We have described seven open source LMS and compared them with their features, usability, services, functions, technical requirements and standards.","","978-1-4673-9825-1","10.1109/ICCICCT.2015.7475244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7475244","Learning Management Systems;Moodle","Software;Standards;Java;Instruments;Electronic learning;Training","","1","","11","IEEE","23 May 2016","","","IEEE","IEEE Conferences"
"A Methodology for E-quiz Content Production for E-learning","V. Rarh; A. Goel","Institute of Lifelong Learning, ILLL, University of Delhi, India; Institute of Lifelong Learning, ILLL, University of Delhi, India",2011 Second International Conference on Emerging Applications of Information Technology,"17 Mar 2011","2011","","","145","148","e-Quizzes leverage the available technological tools for quick assessment and evaluation of the learner in an interactive manner. e-Quizzes are an important component of e-learning. This paper proposes a methodology for content creation of e-quizzes. The proposed methodology comprises of two phases -- (1) content collection, and (2) content upload and testing. The first phase focuses on content identification, team identification and content development in e-quiz template. The second phase aims at upload of content on Learning Management System and testing. The methodology is simple and scalable, and helps to develop high quality e-quizzes in a large University setup. The methodology has been put to practical implementation in University of Delhi to create e-quiz content, for about 3, 00,000 students and 7,000 teachers.","","978-1-4244-9683-9","10.1109/EAIT.2011.72","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5734915","e-learning;e-quiz;content creation;content production;MOODLE;scalabillity;pedagogy","Electronic learning;Testing;Production;Portals;XML;Planning","","1","","9","IEEE","17 Mar 2011","","","IEEE","IEEE Conferences"
"Framework for improving web based e-learning interactivity","G. P. Simić; S. T. Pantić; A. D. Jevremović","Military Academy, University of Defense, Belgrade, Serbia; Singidunum University, Belgrade, Serbia; Department of IT, Ministry of Defense, Belgrade, Serbia",2016 24th Telecommunications Forum (TELFOR),"19 Jan 2017","2016","","","1","4","Contemporary e-learning solutions frequently used in educational institutions and companies are based on learning management systems (LMS). As they usually represent standalone solutions, tests (quizzes) represent the only interactive tool offered for evaluating the learner knowledge. Regardless todays LMS support almost all of question types, learner - system interaction is not at satisfactory level. This paper describes one solution for improving LMS to be more interactive, making learners more motivated in course studding. Serious gaming interactive questions and intensive data exchange infrastructure is used in implementation of this improvements.","","978-1-5090-4086-5","10.1109/TELFOR.2016.7818925","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7818925","e-learning;learning management systems;Moodle plugins;xAPI data exchange format","Servers;Electronic learning;Databases;Systems architecture;Libraries;Learning management systems;Electronic mail","","1","","12","IEEE","19 Jan 2017","","","IEEE","IEEE Conferences"
"Development of courses directed on formation of competences demanded on the market of IT technologies","D. Akhmed-Zaki; M. Mansurova; A. Pyrkova","al-Farabi Kazakh National University, Kazakhstan; Department of Computer Science, al-Farabi Kazakh National University, Kazakhstan; Department of Computer Science, al-Farabi Kazakh National University, Kazakhstan",Proceedings of the 2014 Zone 1 Conference of the American Society for Engineering Education,"26 May 2014","2014","","","1","4","Important feature of new educational programs, according to the State program of a development of education, is orientation to the results of training expressed in the form of competences. Approach on the basis of results of training displaces accents from the teacher to the student, from teaching to training. Results of training are focused on achievements of student, and also that student can show at the end of educational activity. Learning methods are chosen so that the assimilation of the material are held on the form: “Knowledge” → “Skills”. In this article approach of development of a training course is offered with using the following activities: training with the ability to apply the acquired knowledge; depth study of theoretical material; discussion with other students of actual issues on the current topic; material presentation skills; experimental skills; multimedia tools, tests for self-checking.","","978-1-4799-5233-5","10.1109/ASEEZone1.2014.6820673","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6820673","learning outcomes;competences;learning methods;student activities;multimedia tools;HyperCam;Moodle;tests for self-checking;Flash-animation;EJudge system","Training;Educational institutions;Materials;Qualifications;Standards;Electronic learning","","1","","7","IEEE","26 May 2014","","","IEEE","IEEE Conferences"
"The instant qualitative feedback system: Practice in a foreign language presentation course in Japan","Y. Ono; M. Yamashiro; M. Ishihara","University of Tsukuba, Foreign Language Center, Tsukuba, Japan; Department of Systems and Information Engineering, Ashikaga Institute of Technology, Ashikaga, Japan; Department of Electrical and Information Engineering, Oyama National College of Technology, Oyama, Japan",2013 IEEE Region 10 Humanitarian Technology Conference,"18 Nov 2013","2013","","","287","291","This paper describes how the instant text-based feedback system was constructed and actually implemented in a foreign language presentation course in Japan. The biggest reason to construct the proposed system is to improve the quality of feedback from the audience and encourage the presenter to have an opportunity for deeper self-reflection. In the implementation of the system, we raised the research question concerning the students' impression on the difference between this system and the traditional quantitative feedback. Our survey revealed that their attitude toward these two feedback systems was different and that the new system provides the opportunities to think more carefully about their achievements and peer assessment.","","978-1-4673-5963-4","10.1109/R10-HTC.2013.6669057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6669057","Instant feedback;Natural language processing;Teximining;CaboCha;Moodle","Educational institutions;Visualization;Organizations;Context;Software;Semantics","","1","","8","IEEE","18 Nov 2013","","","IEEE","IEEE Conferences"
"An adaptive e-learning system based on Gardner's eight intelligence theory","S. Mazaheri; O. Fatemi","School of Electrical, Computer Engineering College of Engineering University Of Tehran, Tehran, Iran; School of Electrical, Computer Engineering College of Engineering University Of Tehran, Tehran, Iran",2014 6th Conference on Information and Knowledge Technology (IKT),"5 Feb 2015","2014","","","128","133","e-learning is becoming increasingly important in academic education environments. Although learner-led education has been mentioned as a major advantage of e-learning systems, there is not much effective implementation of this feature. The aim of this work is to present an adaptive e-learning system and to compare the effectiveness of adaptive e-learning strategy based on Gardner's eight intelligences theory in total, 82 students in two different classes in the fifth grade participated in this work and of these 41 were in the experimental group and 41 were in the control group.","","978-1-4799-5660-9","10.1109/IKT.2014.7030346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7030346","e-learning strategy based on multiple intelligences theory;MOODLE;Harvard Gardner;science class;educational progress","Training;Standards;Adaptation models;Education courses","","1","","20","IEEE","5 Feb 2015","","","IEEE","IEEE Conferences"
"A framework for technology based evaluation","U. Mahalingam; D. Jaganathan","Department of Computer Science Engineering, Sona College of Technology, Salem, India; Department of Computer Science Engineering, Sona College of Technology, Salem, India",2010 International Conference on Technology for Education,"16 Aug 2010","2010","","","244","245","This paper presents Smart Evaluation System tool for evaluation and continual learning of the students. The tool is developed for a faster evaluation and feedback system. It is developed under ASP.NET with Oracle10G as the back end. Online evaluation with three difficulty levels was introduced at the institution for regular subjects and placement training. The results are also presented in this paper.","","978-1-4244-7361-8","10.1109/T4E.2010.5550111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5550111","Technology Based Evaluation;Moodle;Smart Evaluation Tool","Feedback;Education;System testing;Costs;Environmental management;Computer science;Educational institutions;Technological innovation;Collision mitigation;Least squares approximation","","","","3","IEEE","16 Aug 2010","","","IEEE","IEEE Conferences"
"Relationship between Good Grades and Brain Waves","Y. Kokubo; Y. Shoji","Graduate School of Engineering, University of Hyogo, Himeji-shi, Hyogo, Japan; Laboratory of Advanced Science and Technology for Industry, University of Hyogo, Ako-gun, Hyogo, Japan",2017 6th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),"16 Nov 2017","2017","","","687","690","The relationship between motivation and performance is examined because students grades depend more on student motivation (concentration) than the guidance of a teacher. To elucidate student motivation in a lesson, we examine the relationship between the time spent concentrating by measuring brain waves and exam results. Students who focused longer earned better grades or showed a significant improvement between the first and second tests.","","978-1-5386-0621-6","10.1109/IIAI-AAI.2017.142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8113331","brain wave;attention;meditation;Moodle;seminar","Seminars;Software;Databases;Atmospheric measurements;Particle measurements;Time measurement","","","","7","IEEE","16 Nov 2017","","","IEEE","IEEE Conferences"
"A flexible approach for providing adaptivity in learning management system based on learning styles","S. Alkhuraiji; B. Cheetham; M. A. Razek; O. Bamasak","School of Computer Science, University of Manchester, Manchester, United Kingdom; School of Computer Science, University of Manchester, Manchester, United Kingdom; Deanship of E-learning and Distance Education, King Abdulaziz University, Jeddah, Saudi Arabia; Deanship of E-learning and Distance Education, King Abdulaziz University, Jeddah, Saudi Arabia",2012 12th International Conference on Intelligent Systems Design and Applications (ISDA),"24 Jan 2013","2012","","","718","722","This paper describes our approach to build a dynamic adaptive course in learning management systems based on students' learning styles. Our method aims to adapt the student's learning style by taking the advantage of the previous students taught the same course. To achieve this goal, we present an approach for adaptivity by taking the advantage of information that can be taken from previous students' data record to find similarity between the students. Based on this similarity we can find the next suitable learning style for the current students.","2164-7151","978-1-4673-5119-5","10.1109/ISDA.2012.6416625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6416625","Adaptivity;Learning Style;Learning Management System;Moodle","Silicon;Electronic learning;Adaptive systems;Educational institutions;Learning systems;Visualization","","","","13","IEEE","24 Jan 2013","","","IEEE","IEEE Conferences"
"Didactic aspects of using virtual laboratories in blended learning","J. M. Szymanda","Wroclaw University of Technology, Wroclaw, Poland",2012 11th International Conference on Environment and Electrical Engineering,"21 Jun 2012","2012","","","118","121","This paper puts forward a scenario-based programming method for organization and execution of virtual projects with particular attention to design group issues. Only blended courses, where some classes thus far have been delivered by university teachers in teaching classrooms and laboratories have been discussed. Later, they will be singled out and delivered through e-learning sessions using the faculty's e-learning portal. Emphasis has been put on adapting interactive components of the platform to planned interactions, both in teacher-student-teacher and student-student-student relations. Obligatory remote exchange of information among the design team was taken as one of boundary conditions for the project. In this paper, general phrases and suggestions were determined based on example issues of concern, thematically related to planning and organization of distributed computing procedures for local ICT networks, which would enable re-entrant and multi-user numerical computations and data acquisition in real time.","","978-1-4577-1829-8","10.1109/EEEIC.2012.6221557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6221557","e-learning;blended course;course design;features of moodle;pedagogy of higher education institutions","Electronic learning;Laboratories;Resource management;Java;Educational institutions;Portals","","","","9","IEEE","21 Jun 2012","","","IEEE","IEEE Conferences"
"Applying the UTAUT model in Engineering Higher Education: Teacher's technology adoption","B. P. Marques; J. E. Villate; C. V. Carvalho","Department Engineering Informática-ISE, GILT-Graphics, Interaction and Learning Technologies, Porto, Portugal; Laboratory de SiSaint Institutee Model. em Ciências e Tecnol. do Amb. e do Esp.-SIM, Faculty Engenharia, University of Porto, Porto, Portugal; Department Engineering Informática-ISE, GILT-Graphics, Interaction and Learning Technologies, Porto, Portugal",6th Iberian Conference on Information Systems and Technologies (CISTI 2011),"4 Aug 2011","2011","","","1","6","Many research theories try to explain the adoption/rejection of technology by the users. One of them focuses on the study of the acceptance and the intention of its use and it is named Unified Theory of Acceptance and Use of Technology (UTAUT). The main goal of this article is to model the verification of the adequacy of UTAUT to the use of information technologies (IT) in pedagogical processes in Higher Education (HE). A research methodology centered on the analysis of the use of the e-learning platform in the Instituto Superior de Engenharia do Porto (ISEP) has been developed in order to validate the factors in that context.","2166-0735","978-989-96247-5-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5974236","E-Learning platform;Higher Education;ISEP;MOODLE;UTAUT Model","Technological innovation;Training;Educational institutions;Electronic learning;Information technology;Silicon","","","","42","","4 Aug 2011","","","IEEE","IEEE Conferences"
"Quality assurance in online education — in the tehnical university of Moldova experience","P. Todos; P. Vîrlan; C. Ghencea",Tehnical University of Moldova; Tehnical University of Moldova; Tehnical University of Moldova,2017 International Conference on Electromechanical and Power Systems (SIELMEN),"30 Nov 2017","2017","","","370","374","Online education constitutes an important component in the continuous growth / development of higher education and adult education. Its quality largely depends on the design rules and the evaluation standards of the programs as a whole as well as the study courses as component parts. The need to ensure the quality of online courses is a current issue. The paper proposes a system of standards, criteria and performance indicators for the design and internal evaluation of on-line courses on e-learning platforms, based on the own experience and good European and world practice.","","978-1-5386-1846-2","10.1109/SIELMEN.2017.8123351","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8123351","online course guality;e-learning;evaluation standards;performance indicators;distance learning;Moodle","Standards;Training;Quality assurance;Computer aided instruction;Electronic learning;Europe","","","","13","IEEE","30 Nov 2017","","","IEEE","IEEE Conferences"
"TecTNet TEMPUS project master program for improvement of innovation and technology transfer between universities and industry in Republic of Moldova","J. Šaliga; L. Michaeli; F. Jakab; D. D. Lucache; C. G. Haba","Technicka univerzita v Kosiciach, Kosice, KoÅ¡ice, SK; Technicka univerzita v Kosiciach, Kosice, KoÅ¡ice, SK; Technicka univerzita v Kosiciach, Kosice, KoÅ¡ice, SK; Faculty of Electrical Engineering, “Gheorghe Asachi” Technical University of Iasi, Iasi, Romania; Faculty of Electrical Engineering, “Gheorghe Asachi” Technical University of Iasi, Romania",2016 International Conference on Emerging eLearning Technologies and Applications (ICETA),"2 Jan 2017","2016","","","309","314","Innovations and technological transfer are the basic keys for development and economic growth in any country. Republic of Moldova is one of European countries aspiring for a membership in European Union and its structures. The main goal of TEMPUS TecTNet project is to support the process by improving preparation of qualified experts working in the field of innovation and technology transfer at Moldovan universities and agencies. The paper presents the project, its main goals and achieved results in the fields of education and establishing infrastructure for cooperation among universities and industry in Republic of Moldova. The main focus is on developed master course, which is one of most important outcome of project.","","978-1-5090-4701-7","10.1109/ICETA.2016.7802066","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7802066","TEMPUS;master course;innovation;technology transfer;Moodle","Technological innovation;Technology transfer;Economics;Business;Intellectual property;Industries;Europe","","","","9","IEEE","2 Jan 2017","","","IEEE","IEEE Conferences"
"LMS NUST concurrent session impact and solution","Z. Zahid; M. A. Zahoor; F. Khan; E. Ali","National University of Sciences and Technology, Islamabad, Pakistan; National University of Sciences and Technology, Islamabad, Pakistan; National University of Sciences and Technology, Islamabad, Pakistan; National University of Sciences and Technology, Islamabad, Pakistan",2016 13th International Bhurban Conference on Applied Sciences and Technology (IBCAST),"10 Mar 2016","2016","","","305","311","Proliferation of E-Learning (electronic learning) in all levels of academic system implied the necessity of providing secure communication between users and communication channels. Threats surfaced after network and sharing technologies were used. Many attacks were made on the users. This is why it is crucial to identify threats to security goals: integrity (tampering with data), confidentiality (exposure of data) and authentication attacks (resource misuse), posed by lack of student awareness in the computer security and propose a viable solution as a countermeasure to these threats. The paper aims to introduce and identify concurrent session login as security vulnerability in Learning Management system (LMS) at NUST Islamabad. Technical core of LMS is one of the most widely used learning management systems. Evidence from practical and research domains along with survey results that demonstrate common practices in terms of credentials sharing and updates and its consequence on security of E-Learning systems LMS at NUST laid the foundation of this study. Study was completed with contribution of solution and its implementation to secure LMS installation at NUST.","2151-1411","978-1-4673-9127-6","10.1109/IBCAST.2016.7429895","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7429895","moodle;LMS;E-Learning;NUST","Electronic learning;Authentication;Electronic mail;Internet;Computers","","","","31","IEEE","10 Mar 2016","","","IEEE","IEEE Conferences"
"Making attractive business administration education in engineering","N. G. Sanz","Departamento de Direcci6n y Organización de Empresas, Universidad de Zaragoza Zaragoza, España",2011 Promotion and Innovation with New Technologies in Engineering Education (FINTDI 2011),"4 Aug 2011","2011","","","1","6","This document provides some ideas and guidelines to follow for the students of industrial engineering electronics that demostrate interest in the subject of business administration and production organization.","","978-1-4577-0560-1","10.1109/FINTDI.2011.5948886","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5948886","Motlvation;moodle platform;evaluation and career","Silicon;Internet;Instruments;Manuals;Animals;Videos","","","","5","IEEE","4 Aug 2011","","","IEEE","IEEE Conferences"
"The influence of multimedia based e-learning techniques for the capability of adopting the knowledge by senior students","T. Kocejko","Biomedical Engineering Department, Gdansk University of Technology, Gdansk, Poland",2011 14th International Conference on Interactive Collaborative Learning,"27 Oct 2011","2011","","","237","240","This article highlights the influence of multimedia and video tutorials in computer-based learning specifically geared toward the progressive education of the elderly. Education of the elderly requires instructors to identify methods of increasing knowledge through repetitious learning. In this article we examine the result of progressive learning aided by using video guided lessons, tutorials, and other e-learning resources specific to educating the elderly.","","978-1-4577-1747-5","10.1109/ICL.2011.6059582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6059582","Lifelong Learning;e-learning;blended learning;Moodle;video guided learning","Tutorials;Electronic learning;Motion pictures;Conferences;Educational institutions;Computers;Senior citizens","","","","10","IEEE","27 Oct 2011","","","IEEE","IEEE Conferences"
"Implementation and Evaluation of Real Time Qualitative Feedback Systems in a Foreign Language Presentation Course","Y. Ono; M. Ishihara; S. Hirokawa; M. Yamashiro","University of Tsukuba, Foreign Language Center, Tsukuba, Japan; Department of Electrical and Information Engineering, Oyama National College of Technology, Oyama, Japan; Kyushu University, Research Institute for Information Technology, Fukuoka, Japan; Department of Systems and Information Engineering, Ashikaga Institute of Technology, Ashikaga, Japan",2014 IIAI 3rd International Conference on Advanced Applied Informatics,"1 Dec 2014","2014","","","372","376","This paper attempts to evaluate our new real time qualitative feedback system and its implementation. It was suggested in our earlier research that text-based instant feedback has an advantage of providing learners with opportunities to become aware of new discoveries from the feedback from the audience. We start the discussion with the consideration of some issues around the new system, comparison with two traditional approaches, Clicker approach and Forum approach, cost on learners, and their motivation for the next presentation. We carried out experiment studies and prove that our approach is superior to the traditional Forum and quantitative approach, showing the results of our research.","","978-1-4799-4173-5","10.1109/IIAI-AAI.2014.83","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6913327","Real time feedback;Textmining;Moodle;Presentation course","Real-time systems;Visualization;Educational institutions;Organizations;Semantics;Information technology","","","","5","IEEE","1 Dec 2014","","","IEEE","IEEE Conferences"
"The way towards M-learning","J. Hrad; T. Zeman; M. Nevosad","Department of Telecommunication Engineering, Faculty of Electrical Engineering, Czech Technical University, Praque, Czech Republic; Department of Telecommunication Engineering, Faculty of Electrical Engineering, Czech Technical University, Praque, Czech Republic; Department of Telecommunication Engineering, Faculty of Electrical Engineering, Czech Technical University, Praque, Czech Republic",2011 Proceedings of the 22nd EAEEIE Annual Conference (EAEEIE),"9 Mar 2012","2011","","","1","3","The paper offers an insight into specific features of mobile e-learning (m-learning) and the alternative solutions for its implementation. Our practical experience with development of such system for the purposes of a pilot project is presented.","","978-961-248-281-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6165718","mobile communications;m-learning;distance education courses;Moodle-MLE","Mobile communication;Browsers;Java;Maximum likelihood estimation;Education;Vocabulary;Servers","","","","1","","9 Mar 2012","","","IEEE","IEEE Conferences"
"Instant qualitative feedback system on the basis of text data: Its use and future possibility","Y. Ono; M. Ishihara; M. Yamashiro","University of Tsukuba Foreign Language Center, Tsukuba, Japan; Department of Systems and Information Engineering, Ashikaga Institute of Technology, Ashikaga, Japan; University of Tsukuba Foreign Language Center, Tsukuba, Japan",2013 IEEE 2nd Global Conference on Consumer Electronics (GCCE),"14 Nov 2013","2013","","","514","515","This paper demonstrates the future possibility to integrate ""Instant Quantitative Feedback System” into any educational or other relevant settings. Our study concerns how the instant feedback system on text data collected from the audience had an effect on learner's ore presenter's attitude, comparing the effects of the two types of the instant feedback system: the ""clicker"" type quantitative feedback and the qualitative feedback based on the text data. Our study was carried out in two different types of English classes of the Japanese national university. One class is a high-level class and the other is a low level class. Our study suggests that the proposed qualitative feedback system is useful in two ways: For low-level learners, the system encourages them to express their ideas and opinions better in free text style and to understand how the audience felt about their presentation. For high-level learners, the qualitative feedback system seems to provide them with the opportunities to summarize their ideas and opinions more deeply.","2378-8143","978-1-4799-0892-9","10.1109/GCCE.2013.6664906","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6664906","Instant feedback;Natural language processing;Presentation Course;Moodle","Barium;Conferences;Consumer electronics","","","","2","IEEE","14 Nov 2013","","","IEEE","IEEE Conferences"
"A multimodal e-learning environment for orthopedics: design and implementation challenges","V. Virvilis; S. Perantonis; K. Zagoris; I. Pratikakis","Institute of Informatics and Telecommunications, National Center for Scientific Research ”Demokritos”, Agia Paraskevi, Athens, Greece; Institute of Informatics and Telecommunications, National Center for Scientific Research ”Demokritos”, Agia Paraskevi, Athens, Greece; Department of Electrical and Computer Engineering, Democritus University of Thrace, Xanthi, Greece; Department of Electrical and Computer Engineering, Democritus University of Thrace, Xanthi, Greece","2013 17th International Conference on System Theory, Control and Computing (ICSTCC)","19 Dec 2013","2013","","","728","732","We present a Web-based multimedia e-learning platform used to train orthopedic doctors and medical engineers interested in human motion analysis. The platform has evolved from a previous e-learning environment used for e-learning related to breast pathology. We summarize the technological developments that allow for more flexibility and better user experience related to our previous work. We also report on the incorporation of best practices that lead to these desirable results. The architecture of the platform is described, along with its main modules, namely the LMS, the tool used for authoring the multimedia content and the training interactive multimedia environment. The e-learning environment, which is ubiquitously accessible via the web and platform independent, allows for the efficient coupling of medical and engineering theory with real clinical case studies and the multimedia content (images,videos, graphs) related to them.","","978-1-4799-2228-4","10.1109/ICSTCC.2013.6689047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6689047","ORTHO-eMAN;e-Training platform;orthopedics;web application;Moodle;multimedia content authoring","Multimedia communication;Electronic learning;Biomedical imaging;Medical services;XML;Streaming media","","","","9","IEEE","19 Dec 2013","","","IEEE","IEEE Conferences"
"The construction of English collaborative learning model based on Sloodle","G. Zhang","Information Technology Department, Zhejiang Financial College, Hangzhou, China",2011 International Conference on Electrical and Control Engineering,"24 Oct 2011","2011","","","6840","6843","With the development of Distributed Virtual Learning Environment (MUVES). It brings an immersive world into educational environment, improves the perceptible and interactive for learners in online education, and especially provides a quite good opportunity for language learners to improve the quality of English teaching. This paper reviews the system of Sloodle, illustrates its educational function modules, and constructs a Sloodle-based English collaborative learning model which based on Sloodle and analyze its elements, explores the operation Process, aiming to give reference for further research in web-based English learning.","","978-1-4244-8165-1","10.1109/ICECENG.2011.6056934","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6056934","MUVES;Sloodle;Moodle;Second Life;Collaborative Learning;activity design;Evaluation","Collaborative work;Educational institutions;Three dimensional displays;Collaboration;Analytical models;Second Life","","","","5","IEEE","24 Oct 2011","","","IEEE","IEEE Conferences"
